pl_name,pl_rade,pl_bmasse
"WASP-97 b",12.66617000,420.48909000
"WASP-104 b",12.74463300,403.00844000
"WASP-94 A b",19.27948000,144.93048000
"HD 149026 b",9.09049900,102.34126000
"TrES-4 b",20.60214200,158.27934000
"WASP-13 b",17.12735200,166.86075000
"WASP-16 b",11.29867200,288.58964000
"WASP-1 b",16.97042600,301.30284000
"WASP-21 b",11.99363000,94.39551000
"WASP-24 b",14.57170000,336.89980000
"TOI-1468 b",1.28000000,3.21000000
"HATS-9 b",13.14143160,259.34928000
"WASP-100 b",14.90797000,400.46580000
"LHS 1903 c",2.04600000,4.55000000
"WASP-25 b",13.80946422,179.25522155
"Kepler-102 d",1.17000000,2.60000000
"TOI-2019 b",5.33275337,34.40000000
"TOI-1410.01",3.10083009,12.50000000
"TOI-561 d",2.53000000,11.95000000
"HD 110067 g",2.60700000,8.40000000
"WASP-118 b",15.62534600,165.27160000
"GJ 9827 c",1.24100000,0.84000000
"TOI-283 b",2.34000000,6.54000000
"WASP-175 b",13.54047200,314.65170000
"WASP-164 b",12.64375200,676.97790000
"HAT-P-9 b",15.69260000,241.86863000
"HD 207496 b",2.25000000,6.10000000
"HD 110067 e",1.94000000,3.90000000
"Kepler-77 b",10.76064000,165.90726000
"TOI-1807 b",1.49681583,2.44000000
"GJ 9827 b",1.44000000,4.28000000
"TOI-1801 b",1.96061882,16.00000000
"WASP-182 b",9.52765000,47.03884000
"TOI-4201 b",12.66614819,816.81900599
"CoRoT-32 b",6.38913000,47.67450000
"HD 332231 b",9.71820300,77.55052000
"TOI-125 c",2.75900000,6.63000000
"HAT-P-65 b",21.18501000,167.49641000
"HATS-6 b",11.18658200,101.38777000
"TOI-837 b",9.71000000,116.00000000
"K2-199 c",2.85000000,12.40000000
"WASP-84 b",10.55900000,220.56500000
"TOI-1836 b",8.56366125,29.24021344
"HATS-5 b",10.22300000,75.32300000
"TOI-849 b",3.64000000,41.80000000
"TOI-4127 b",12.28504285,731.00533610
"WASP-22 b",12.98002200,181.16310000
"TOI-2525 b",8.67575106,26.69758619
"EPIC 211945201 b",5.50000000,11.00000000
"TOI-5110 b",11.98240037,921.70238030
"K2-32 b",5.38000000,21.10000000
"Wendelstein-1 b",11.56096260,188.15536000
"K2-132 b",14.57170000,155.73670000
"HAT-P-14 b",12.89035000,731.96249000
"HR 8799 d",13.00000000,3000.00000000
"HR 8799 c",13.00000000,3000.00000000
"Kepler-65 c",2.62300000,5.40000000
"CoRoT-18 b",14.02245900,1039.30410000
"HAT-P-42 b",14.34800000,331.80100000
"TOI-2364 b",8.60849718,71.51139158
"KELT-8 b",20.84874000,272.69814000
"HATS-26 b",19.61575000,206.58950000
"TOI-1696 b",3.09000000,48.80000000
"TOI-4377 b",15.10970598,304.16178550
"TOI-1899 b",12.89035000,209.76780000
"K2-19 c",4.51000000,15.90000000
"HAT-P-9 b",15.69000000,247.90000000
"HD 136352 c",2.91600000,11.24000000
"HD 28109 c",4.23000000,7.94300000
"TOI-1478 b",11.88154000,270.47333000
"WASP-25 b",13.67500000,184.33400000
"Kepler-10 b",1.47000000,3.26000000
"HAT-P-25 b",13.33871000,180.20961000
"TOI-1670 c",10.87271128,183.70481925
"GJ 9827 b",1.52900000,4.87000000
"WASP-194 b",15.47960235,373.13054982
"TOI-1117 b",2.46000000,8.90000000
"HATS-42 b",15.69260000,597.52040000
"TOI-1742 b",2.36507598,9.70000000
"K2-216 b",1.75000000,8.00000000
"Kepler-424 b",9.97601000,341.98508000
"TOI-4214 b",10.68215861,165.27077164
"TOI-2202 b",10.95117414,287.31687993
"CoRoT-19 b",14.45961000,367.09365000
"TOI-1694 b",5.34222660,31.30000000
"LTT 1445 A c",1.14700000,1.54000000
"TOI-561 e",2.55000000,13.60000000
"KELT-24 b",15.24421375,1334.87930940
"TOI-1685 b",1.45900000,3.43000000
"HATS-5 b",10.22260800,75.64354000
"TOI-1691 b",3.56505068,14.60000000
"HATS-40 b",17.71022000,505.34970000
"HAT-P-57 b",19.50366000,448.14030000
"Kepler-96 b",2.37300000,12.96756068
